tipo,valor,parceiro,data
Prémio Extra Diário,10,Poke House,2023-06-02 12:45:00
Prémio Diário,20,–,2023-06-02 13:24:00
Prémio Extra Diário,10,Poke House,2023-06-03 12:45:00
Prémio Diário,20,–,2023-06-03 14:48:00
Prémio Extra Diário,10,Poke House,2023-06-04 12:45:00
Prémio Diário,20,–,2023-06-04 15:12:00
Prémio Extra Diário,10,Poke House,2023-06-05 12:45:00
Prémio Diário,20,–,2023-06-05 16:36:00
Prémio Extra Diário,10,Poke House,2023-06-06 12:45:00
Prémio Diário,20,Zumub,2023-06-06 17:00:00
Prémio Extra Diário,10,Poke House,2023-06-07 12:45:00
Prémio Diário,20,Zumub,2023-06-07 18:24:00
Prémio Extra Diário,10,Poke House,2023-06-08 12:45:00
Prémio Semanal,100,–,2023-06-08 17:15:00
Prémio Diário,20,Zumub,2023-06-08 19:48:00
Prémio Extra Diário,10,Poke House,2023-06-09 12:45:00
Prémio Extra Diário,30,FlixBus,2023-06-09 18:00:00
Prémio Diário,20,Zumub,2023-06-09 20:12:00
Prémio Extra Diário,10,Poke House,2023-06-10 12:45:00
Prémio Diário,20,Zumub,2023-06-10 21:36:00
Prémio Extra Diário,10,Poke House,2023-06-11 12:45:00
Prémio Diário,20,Zumub,2023-06-11 22:00:00
Prémio Extra Diário,10,Poke House,2023-06-12 12:45:00
Prémio Diário,20,Zumub,2023-06-12 23:24:00
Prémio Diário,20,Zumub,2023-06-13 07:48:00
Prémio Extra Diário,10,Poke House,2023-06-13 12:45:00
Prémio Diário,20,Zumub,2023-06-14 08:12:00
Prémio Extra Diário,10,Poke House,2023-06-14 12:45:00
Prémio Diário,20,Zumub,2023-06-15 09:36:00
Prémio Extra Diário,10,Poke House,2023-06-15 12:45:00
Prémio Diário,20,Zumub,2023-06-16 10:00:00
Prémio Extra Diário,10,Poke House,2023-06-16 12:45:00
Prémio Extra Diário,30,FlixBus,2023-06-16 18:00:00
Prémio Semanal,100,–,2023-06-16 19:45:00
Prémio Diário,20,Zumub,2023-06-17 11:24:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-17 12:00:00
Prémio Extra Diário,10,Poke House,2023-06-17 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-17 13:00:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-18 12:00:00
Prémio Extra Diário,10,Poke House,2023-06-18 12:45:00
Prémio Diário,20,Zumub,2023-06-18 12:48:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-18 13:00:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-19 12:00:00
Prémio Extra Diário,10,Poke House,2023-06-19 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-19 13:00:00
Prémio Diário,20,Zumub,2023-06-19 13:12:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-20 12:00:00
Prémio Extra Diário,10,Poke House,2023-06-20 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-20 13:00:00
Prémio Diário,20,Zumub,2023-06-20 14:36:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-21 12:00:00
Prémio Extra Diário,10,Poke House,2023-06-21 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-21 13:00:00
Prémio Diário,20,Zumub,2023-06-21 15:00:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-22 12:00:00
Prémio Extra Diário,10,Poke House,2023-06-22 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-22 13:00:00
Prémio Diário,20,Zumub,2023-06-22 16:24:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-23 12:00:00
Prémio Extra Diário,10,Poke House,2023-06-23 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-23 13:00:00
Prémio Diário,20,Zumub,2023-06-23 17:48:00
Prémio Extra Diário,30,FlixBus,2023-06-23 18:00:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-24 12:00:00
Prémio Extra Diário,10,Poke House,2023-06-24 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-24 13:00:00
Prémio Mensal,200,–,2023-06-24 17:00:00
Prémio Diário,20,Zumub,2023-06-24 18:12:00
Prémio Extra Diário,75,Prozis,2023-06-24 19:00:00
Prémio Semanal,100,–,2023-06-24 21:15:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-25 12:00:00
Prémio Extra Diário,10,Poke House,2023-06-25 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-25 13:00:00
Prémio Diário,20,Zumub,2023-06-25 19:36:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-26 12:00:00
Prémio Extra Diário,10,Poke House,2023-06-26 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-26 13:00:00
Prémio Diário,20,Zumub,2023-06-26 20:00:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-27 12:00:00
Prémio Extra Diário,10,Poke House,2023-06-27 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-27 13:00:00
Prémio Diário,20,Zumub,2023-06-27 21:24:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-28 12:00:00
